Mercury,2439.7,0.4
Venus,6051.8,0.72
Earth,6371,1
Mars,3389.5,1.524
Jupiter,69911,5.2
Saturn,58232,9.5,
Uranus,25362, 19.2
Neptune,24622,30.1
