CoRoT-20 c,17.00000,1675.00000000,2.900000,0.600000,CoRoT-20
CoRoT-21 b,2.26000,2.72474000,0.041700,0.000000,CoRoT-21
CoRoT-22 b,0.03800,9.75598000,0.092000,0.077000,CoRoT-22
CoRoT-23 b,2.80000,3.63130000,0.048000,0.160000,CoRoT-23
CoRoT-24 b,0.01800,5.11340000,0.056000,0.000000,CoRoT-24
CoRoT-24 c,0.08800,11.75900000,0.098000,0.000000,CoRoT-24
CoRoT-25 b,0.27000,4.86069000,0.057800,0.000000,CoRoT-25
CoRoT-26 b,0.52000,4.20474000,0.052600,0.000000,CoRoT-26
CoRoT-27 b,10.39000,3.57532000,0.047600,0.065000,CoRoT-27
CoRoT-28 b,0.48400,5.20851000,0.060300,0.047000,CoRoT-28
CoRoT-29 b,0.85000,2.85057000,0.038600,0.082000,CoRoT-29
CoRoT-3 b,21.66000,4.25680000,,0.000000,CoRoT-3
CoRoT-4 b,0.72000,9.20205000,0.090000,0.000000,CoRoT-4
CoRoT-5 b,0.46700,4.03789620,0.049470,0.090000,CoRoT-5
CoRoT-6 b,2.96000,8.88659300,0.085500,0.100000,CoRoT-6
CoRoT-7 b,0.01000,0.85359163,,0.000000,CoRoT-7
CoRoT-7 c,0.02643,3.69800000,0.046000,0.000000,CoRoT-7
CoRoT-8 b,0.22000,6.21229000,0.063000,0.000000,CoRoT-8
CoRoT-9 b,0.84000,95.27265600,0.402100,0.133000,CoRoT-9
CoRoTID 223977153 b,0.15000,6.71837000,0.071000,,CoRoTID 223977153
DE CVn b,12.02930,4098.10000000,5.750000,0.000000,DE CVn
DENIS-P J082303.1-491201 b,28.50000,246.36000000,0.360000,0.345000,DENIS-P J082303.1-491201
DH Tau b,11.00000,,330.000000,,DH Tau
DP Leo b,6.05000,10220.00000000,8.190000,0.390000,DP Leo
DS Tuc A b,,8.13826800,,0.000000,DS Tuc A
EPIC 201238110 b,,28.16560000,,,EPIC 201238110
EPIC 201497682 b,,2.13174000,,,EPIC 201497682
EPIC 201615463 c,,3.80464000,,,K2-166
EPIC 201754305 d,,2.71578000,,,K2-16
EPIC 201833600 c,,3.96151000,,,K2-50
EPIC 201841433 b,,4.16959000,,,EPIC 201841433
EPIC 205950854 c,,8.05072200,,,K2-168
EPIC 206024342 b,,4.50756000,,,EPIC 206024342
EPIC 206032309 b,,2.87814000,,,EPIC 206032309
EPIC 206042996 b,,5.29711000,,,EPIC 206042996
EPIC 206215704 b,,2.25372000,,,EPIC 206215704
EPIC 206317286 b,,1.58252000,,,EPIC 206317286
EPIC 211822797 b,,21.16986100,0.131000,0.060000,EPIC 211822797
EPIC 211945201 b,,19.49221000,0.149300,,EPIC 211945201
EPIC 212297394 b,,2.28943000,,,EPIC 212297394
EPIC 212424622 b,,18.09830000,,,EPIC 212424622
EPIC 212499991 b,,34.88500000,,,EPIC 212499991
EPIC 212587672 b,,15.28410000,,,EPIC 212587672
EPIC 212737443 b,,13.60300000,0.098000,0.200000,EPIC 212737443
EPIC 212737443 c,,65.55000000,0.280000,0.200000,EPIC 212737443
EPIC 220554210 c,,0.70531000,,,K2-282
EPIC 220674823 b,,0.57133100,0.013400,,EPIC 220674823
EPIC 220674823 c,,13.33907900,0.109100,,EPIC 220674823
EPIC 246851721 b,3.00000,6.18023500,0.072290,,EPIC 246851721
EPIC 248847494 b,13.00000,3650.00000000,4.500000,0.000000,EPIC 248847494
FU Tau b,16.00000,,800.000000,,FU Tau
Fomalhaut b,,555530.00000000,160.000000,0.870000,Fomalhaut
GJ 1132 b,0.00522,1.62893100,0.015300,0.220000,GJ 1132
GJ 1132 c,0.00831,8.92900000,0.047600,0.270000,GJ 1132
GJ 1148 b,0.30425,41.38000000,0.166000,0.380000,GJ 1148
GJ 1148 c,0.21414,532.58000000,0.912000,0.342000,GJ 1148
GJ 1214 b,0.01970,1.58040456,0.014110,,GJ 1214
GJ 1265 b,0.02328,3.65110000,0.026000,0.040000,GJ 1265
GJ 143 b,0.07142,35.61253000,0.191500,0.188000,GJ 143
GJ 163 b,0.03335,8.63182000,0.060700,0.073000,GJ 163
GJ 163 c,0.02140,25.63058000,0.125400,0.099000,GJ 163
GJ 163 d,0.09250,603.95116000,1.030400,0.373000,GJ 163
GJ 179 b,0.82000,2288.00000000,2.410000,0.210000,GJ 179
GJ 273 b,0.00909,18.64980000,0.091101,0.100000,GJ 273
GJ 273 c,0.00371,4.72340000,0.036467,0.170000,GJ 273
GJ 3021 b,3.37000,133.71000000,0.490000,0.511000,GJ 3021
GJ 3138 b,0.00560,1.22003000,0.019700,0.190000,GJ 3138
GJ 3138 c,0.01315,5.97400000,0.057000,0.110000,GJ 3138
GJ 3138 d,0.03304,257.80000000,0.698000,0.320000,GJ 3138
GJ 317 b,2.50000,692.00000000,1.150000,0.110000,GJ 317
GJ 317 c,1.54000,5312.00000000,,0.308000,GJ 317
GJ 328 b,2.30000,4100.00000000,4.500000,0.370000,GJ 328
GJ 3293 b,0.07406,30.59870000,0.143390,0.060000,GJ 3293
GJ 3293 c,0.06636,122.61960000,0.361750,0.110000,GJ 3293
GJ 3293 d,0.02391,48.13450000,0.193940,0.120000,GJ 3293
GJ 3293 e,0.01032,13.25430000,0.082080,0.210000,GJ 3293
GJ 3323 b,0.00636,5.36360000,0.032820,0.230000,GJ 3323
GJ 3323 c,0.00727,40.54000000,0.126400,0.170000,GJ 3323
GJ 3341 b,0.02080,14.20700000,0.089000,0.310000,GJ 3341
GJ 3470 b,0.04373,3.33664960,0.035500,,GJ 3470
GJ 357 b,0.00579,3.93072000,0.035000,,GJ 357
GJ 357 c,0.01070,9.12470000,0.061000,,GJ 357
GJ 357 d,0.01919,55.66100000,0.204000,,GJ 357
GJ 3634 b,0.02600,2.64561000,0.028700,0.080000,GJ 3634
GJ 3779 b,0.02517,3.02320000,0.026000,0.070000,GJ 3779
GJ 3942 b,0.02246,6.90500000,0.060800,0.121000,GJ 3942
GJ 3998 b,0.00777,2.64977000,0.029000,0.000000,GJ 3998
GJ 3998 c,0.01970,13.74000000,0.089000,0.049000,GJ 3998
GJ 411 b,0.00941,12.95320000,0.078500,0.220000,GJ 411
GJ 4276 b,0.05213,13.35200000,0.082000,0.370000,GJ 4276
GJ 433 b,0.02000,7.37090000,0.060000,0.080000,GJ 433
GJ 436 b,0.07000,2.64388312,0.029100,0.138270,GJ 436
GJ 504 b,4.00000,,43.500000,,GJ 504
GJ 536 b,0.01686,8.70760000,0.066610,0.080000,GJ 536
GJ 581 b,0.04970,5.36860000,0.040610,0.000000,GJ 581
GJ 581 c,0.01730,12.91400000,0.072100,0.000000,GJ 581
GJ 581 e,0.00530,3.14900000,0.028150,0.000000,GJ 581
GJ 625 b,0.00887,14.62800000,0.078361,0.130000,GJ 625
GJ 649 b,0.32800,598.30000000,1.135000,0.300000,GJ 649
GJ 667 C b,0.01800,7.20040000,0.050500,0.130000,GJ 667 C
GJ 667 C c,0.01200,28.14000000,0.125000,0.020000,GJ 667 C
GJ 667 C e,0.00800,62.24000000,0.213000,0.020000,GJ 667 C
GJ 667 C f,0.00800,39.02600000,0.156000,0.030000,GJ 667 C
GJ 667 C g,0.01400,256.20000000,0.549000,0.080000,GJ 667 C
GJ 674 b,0.03500,4.69380000,0.039000,0.200000,GJ 674
GJ 676 A b,4.96000,1056.80005000,1.820000,0.330000,GJ 676 A
GJ 676 A c,6.80000,7337.00000000,6.600000,,GJ 676 A
GJ 676 A d,0.01400,3.60050000,,0.262000,GJ 676 A
GJ 676 A e,0.02500,35.39000000,,0.125000,GJ 676 A
GJ 685 b,0.02832,24.16000000,0.134400,0.000000,GJ 685
GJ 687 b,0.06000,38.14000000,0.170000,0.040000,GJ 687
GJ 832 b,0.68000,3657.00000000,3.560000,0.080000,GJ 832
GJ 832 c,0.01700,35.68000000,0.163000,0.180000,GJ 832
GJ 849 b,1.00000,1882.00000000,2.350000,0.040000,GJ 849
GJ 86 b,4.42000,15.76491000,0.110000,0.040000,GJ 86
GJ 876 b,2.27560,61.11660000,0.208317,0.032400,GJ 876
GJ 876 c,0.71420,30.08810000,0.129590,0.255910,GJ 876
GJ 876 d,0.02100,1.93778000,0.020807,0.207000,GJ 876
GJ 876 e,0.04600,124.26000000,0.334300,0.055000,GJ 876
GJ 96 b,0.06186,73.94000000,0.291000,0.440000,GJ 96
GJ 9827 b,0.01545,1.20898190,0.018800,0.000000,GJ 9827
GJ 9827 c,0.00264,3.64809570,0.039250,0.000000,GJ 9827
GJ 9827 d,0.01271,6.20146980,0.055910,0.000000,GJ 9827
GQ Lup b,20.00000,,100.000000,,GQ Lup
GSC 06214-00210 b,16.00000,,320.000000,,GSC 06214-00210
GU Psc b,11.30000,,2000.000000,,GU Psc
Gl 378 b,0.04097,3.82200000,0.039435,0.109000,Gl 378
Gl 49 b,0.01771,13.85080000,0.090500,0.363000,Gl 49
Gl 686 b,0.02089,15.53140000,0.091700,0.077000,Gl 686
HAT-P-1 b,0.52500,4.46529976,0.055610,,HAT-P-1
HAT-P-11 b,0.07362,4.88780244,0.052540,0.218000,HAT-P-11
HAT-P-11 c,1.59519,3407.00000000,4.130000,0.601000,HAT-P-11
HAT-P-12 b,0.21100,3.21305980,0.038400,0.000000,HAT-P-12
HAT-P-13 b,0.85100,2.91625000,,0.013300,HAT-P-13
HAT-P-13 c,14.28000,446.27000000,,0.661600,HAT-P-13
HAT-P-14 b,3.44000,4.62767000,,0.110000,HAT-P-14
HAT-P-15 b,1.94000,10.86350000,,0.190000,HAT-P-15
HAT-P-16 b,4.19300,2.77596000,0.041300,0.036000,HAT-P-16
HAT-P-17 b,0.58000,10.33852000,,0.350000,HAT-P-17
HAT-P-17 c,3.40000,5584.00000000,5.600000,0.390000,HAT-P-17
