GJ 674 b,,4.55
GJ 676 A b,,16.03
GJ 676 A c,,16.03
GJ 676 A d,,16.03
GJ 676 A e,,16.03
GJ 685 b,,14.32
GJ 687 b,,4.55
GJ 832 b,,4.97
GJ 832 c,,4.97
GJ 849 b,,8.80
GJ 86 b,,10.79
GJ 876 b,,4.68
GJ 876 c,,4.68
GJ 876 d,,4.68
GJ 876 e,,4.68
GJ 96 b,,11.94
GJ 9827 b,0.141,29.69
GJ 9827 c,0.111,29.69
GJ 9827 d,0.180,29.69
GQ Lup b,3.000,151.82
GSC 06214-00210 b,,145.00
GU Psc b,1.265,48.00
Gl 378 b,,14.96
Gl 49 b,,9.86
Gl 686 b,,8.16
HAT-P-1 b,1.319,159.71
HAT-P-11 b,0.389,37.81
HAT-P-11 c,,37.81
HAT-P-12 b,0.959,142.50
HAT-P-13 b,1.272,214.00
HAT-P-13 c,,214.00
HAT-P-14 b,1.420,224.10
HAT-P-15 b,1.060,193.56
HAT-P-16 b,1.289,235.00
HAT-P-17 b,1.050,92.63
HAT-P-17 c,,92.63
HAT-P-18 b,0.995,166.00
HAT-P-19 b,1.132,215.00
HAT-P-2 b,,128.25
HAT-P-20 b,0.867,70.00
HAT-P-21 b,1.110,279.48
HAT-P-22 b,1.150,81.96
HAT-P-23 b,1.090,368.61
HAT-P-24 b,1.300,420.26
HAT-P-25 b,1.135,302.95
HAT-P-26 b,0.630,142.41
HAT-P-27 b,1.020,204.00
HAT-P-28 b,1.212,395.00
HAT-P-29 b,1.170,316.36
HAT-P-3 b,0.940,135.08
HAT-P-30 b,1.440,215.29
HAT-P-31 b,1.090,347.48
HAT-P-32 b,1.980,291.51
HAT-P-33 b,1.850,400.55
HAT-P-34 b,1.350,251.08
HAT-P-35 b,3.550,514.20
HAT-P-36 b,1.277,296.93
HAT-P-37 b,1.178,411.00
HAT-P-38 b,0.825,249.00
HAT-P-39 b,1.571,642.00
HAT-P-4 b,1.274,314.00
HAT-P-40 b,1.520,470.68
HAT-P-41 b,2.050,351.63
HAT-P-42 b,1.280,447.00
HAT-P-43 b,1.281,542.00
HAT-P-44 b,1.242,363.00
HAT-P-44 c,,363.00
HAT-P-45 b,1.426,305.00
HAT-P-46 b,1.284,296.00
HAT-P-49 b,1.590,353.89
HAT-P-5 b,1.210,306.01
HAT-P-50 b,1.288,497.00
HAT-P-51 b,1.293,470.00
HAT-P-52 b,1.009,385.00
HAT-P-53 b,1.318,719.00
HAT-P-54 b,0.944,144.25
HAT-P-55 b,1.182,480.00
HAT-P-56 b,1.510,323.50
HAT-P-57 b,1.740,282.08
HAT-P-6 b,1.480,277.50
HAT-P-65 b,1.890,841.00
HAT-P-66 b,1.590,927.00
HAT-P-67 b,2.085,320.00
HAT-P-69 b,1.676,343.90
HAT-P-7 b,1.510,344.46
HAT-P-70 b,1.870,329.00
HAT-P-8 b,1.400,212.84
HAT-P-9 b,1.393,480.00
HATS-1 b,1.302,303.00
HATS-10 b,0.969,496.00
HATS-11 b,1.609,967.34
HATS-12 b,0.692,512.41
HATS-13 b,1.212,476.00
HATS-14 b,1.039,513.00
HATS-15 b,1.105,689.00
HATS-16 b,1.300,774.00
HATS-17 b,0.777,339.00
HATS-18 b,1.329,645.00
HATS-2 b,1.168,360.00
HATS-22 b,0.953,207.90
HATS-23 b,1.860,747.00
HATS-24 b,1.395,510.00
HATS-25 b,1.260,466.00
HATS-26 b,1.750,907.00
HATS-27 b,1.500,840.00
HATS-28 b,1.194,521.00
HATS-29 b,1.251,351.00
HATS-3 b,1.381,453.00
HATS-30 b,1.175,339.00
HATS-31 b,1.640,872.00
HATS-32 b,1.249,839.00
HATS-33 b,1.230,255.00
HATS-34 b,1.430,532.00
HATS-35 b,1.464,557.00
HATS-36 b,1.153,878.65
HATS-39 b,1.570,773.00
HATS-4 b,1.020,420.00
HATS-40 b,1.580,1431.00
HATS-41 b,1.330,800.00
HATS-42 b,1.400,942.00
HATS-43 b,1.180,341.00
HATS-44 b,1.067,463.00
HATS-45 b,1.286,818.00
