Mercury,0.034897226,0.4
Venus,0.086564346,0.72
Earth,0.091130151,1
Mars,0.048483071,1.524
Jupiter,1,5.2
Saturn,0.832944744,9.5
Uranus,0.362775529,19.2
Neptune,0.352190642,30.1
